"club","season_end","official_points","results_points","matches","gap"
"Ipswich Town",2001,66,66,38,0
"Ipswich Town",2002,36,36,38,0
"Ipswich Town",2025,22,22,38,0
"Leeds United",1996,43,43,38,0
"Leeds United",1997,46,46,38,0
"Leeds United",1998,59,59,38,0
"Leeds United",1999,67,67,38,0
"Leeds United",2000,69,69,38,0
"Leeds United",2001,68,68,38,0
"Leeds United",2002,66,66,38,0
"Leeds United",2003,47,47,38,0
"Leeds United",2004,33,33,38,0
"Leeds United",2021,59,59,38,0
"Leeds United",2022,38,38,38,0
"Leeds United",2023,31,31,38,0
"Leeds United",2026,47,47,38,0
"Leicester City",1997,47,47,38,0
"Leicester City",1998,53,53,38,0
"Leicester City",1999,49,49,38,0
"Leicester City",2000,55,55,38,0
"Leicester City",2001,48,48,38,0
"Leicester City",2002,28,28,38,0
"Leicester City",2004,33,33,38,0
"Leicester City",2015,41,41,38,0
"Leicester City",2016,81,81,38,0
"Leicester City",2017,44,44,38,0
"Leicester City",2018,47,47,38,0
"Leicester City",2019,52,52,38,0
"Leicester City",2020,62,62,38,0
"Leicester City",2021,66,66,38,0
"Leicester City",2022,52,52,38,0
"Leicester City",2023,34,34,38,0
"Leicester City",2025,25,25,38,0
"Liverpool",1996,71,71,38,0
"Liverpool",1997,68,68,38,0
"Liverpool",1998,65,65,38,0
"Liverpool",1999,54,54,38,0
"Liverpool",2000,67,67,38,0
"Liverpool",2001,69,69,38,0
"Liverpool",2002,80,80,38,0
"Liverpool",2003,64,64,38,0
"Liverpool",2004,60,60,38,0
"Liverpool",2005,58,58,38,0
"Liverpool",2006,82,82,38,0
"Liverpool",2007,68,68,38,0
"Liverpool",2008,76,76,38,0
"Liverpool",2009,86,86,38,0
"Liverpool",2010,63,63,38,0
"Liverpool",2011,58,58,38,0
"Liverpool",2012,52,52,38,0
"Liverpool",2013,61,61,38,0
"Liverpool",2014,84,84,38,0
"Liverpool",2015,62,62,38,0
"Liverpool",2016,60,60,38,0
"Liverpool",2017,76,76,38,0
"Liverpool",2018,75,75,38,0
"Liverpool",2019,97,97,38,0
"Liverpool",2020,99,99,38,0
"Liverpool",2021,69,69,38,0
"Liverpool",2022,92,92,38,0
"Liverpool",2023,67,67,38,0
"Liverpool",2024,82,82,38,0
"Liverpool",2025,84,84,38,0
"Liverpool",2026,60,60,38,0
"Luton Town",2024,26,26,38,0
"Manchester City",1996,38,38,38,0
"Manchester City",2001,34,34,38,0
"Manchester City",2003,51,51,38,0
"Manchester City",2004,41,41,38,0
"Manchester City",2005,52,52,38,0
"Manchester City",2006,43,43,38,0
"Manchester City",2007,42,42,38,0
"Manchester City",2008,55,55,38,0
"Manchester City",2009,50,50,38,0
"Manchester City",2010,67,67,38,0
"Manchester City",2011,71,71,38,0
"Manchester City",2012,89,89,38,0
"Manchester City",2013,78,78,38,0
"Manchester City",2014,86,86,38,0
"Manchester City",2015,79,79,38,0
"Manchester City",2016,66,66,38,0
"Manchester City",2017,78,78,38,0
"Manchester City",2018,100,100,38,0
"Manchester City",2019,98,98,38,0
"Manchester City",2020,81,81,38,0
"Manchester City",2021,86,86,38,0
"Manchester City",2022,93,93,38,0
"Manchester City",2023,89,89,38,0
"Manchester City",2024,91,91,38,0
"Manchester City",2025,71,71,38,0
"Manchester City",2026,78,78,38,0
"Manchester United",1996,82,82,38,0
"Manchester United",1997,75,75,38,0
"Manchester United",1998,77,77,38,0
"Manchester United",1999,79,79,38,0
"Manchester United",2000,91,91,38,0
"Manchester United",2001,80,80,38,0
"Manchester United",2002,77,77,38,0
"Manchester United",2003,83,83,38,0
"Manchester United",2004,75,75,38,0
"Manchester United",2005,77,77,38,0
"Manchester United",2006,83,83,38,0
"Manchester United",2007,89,89,38,0
"Manchester United",2008,87,87,38,0
"Manchester United",2009,90,90,38,0
"Manchester United",2010,85,85,38,0
"Manchester United",2011,80,80,38,0
"Manchester United",2012,89,89,38,0
"Manchester United",2013,89,89,38,0
"Manchester United",2014,64,64,38,0
"Manchester United",2015,70,70,38,0
"Manchester United",2016,66,66,38,0
"Manchester United",2017,69,69,38,0
"Manchester United",2018,81,81,38,0
"Manchester United",2019,66,66,38,0
"Manchester United",2020,66,66,38,0
"Manchester United",2021,74,74,38,0
"Manchester United",2022,58,58,38,0
"Manchester United",2023,75,75,38,0
"Manchester United",2024,60,60,38,0
"Manchester United",2025,42,42,38,0
"Manchester United",2026,71,71,38,0
"Middlesbrough",1996,43,43,38,0
"Middlesbrough",1997,39,42,38,-3
"Middlesbrough",1999,51,51,38,0
"Middlesbrough",2000,52,52,38,0
"Middlesbrough",2001,42,42,38,0
"Middlesbrough",2002,45,45,38,0
"Middlesbrough",2003,49,49,38,0
"Middlesbrough",2004,48,48,38,0
"Middlesbrough",2005,55,55,38,0
"Middlesbrough",2006,45,45,38,0
"Middlesbrough",2007,46,46,38,0
"Middlesbrough",2008,42,42,38,0
"Middlesbrough",2009,32,32,38,0
"Middlesbrough",2017,28,28,38,0
"Newcastle United",1996,78,78,38,0
"Newcastle United",1997,68,68,38,0
"Newcastle United",1998,44,44,38,0
"Newcastle United",1999,46,46,38,0
"Newcastle United",2000,52,52,38,0
"Newcastle United",2001,51,51,38,0
"Newcastle United",2002,71,71,38,0
"Newcastle United",2003,69,69,38,0
"Newcastle United",2004,56,56,38,0
"Newcastle United",2005,44,44,38,0
"Newcastle United",2006,58,58,38,0
"Newcastle United",2007,43,43,38,0
"Newcastle United",2008,43,43,38,0
"Newcastle United",2009,34,34,38,0
"Newcastle United",2011,46,46,38,0
"Newcastle United",2012,65,65,38,0
"Newcastle United",2013,41,41,38,0
"Newcastle United",2014,49,49,38,0
"Newcastle United",2015,39,39,38,0
"Newcastle United",2016,37,37,38,0
"Newcastle United",2018,44,44,38,0
"Newcastle United",2019,45,45,38,0
"Newcastle United",2020,44,44,38,0
"Newcastle United",2021,45,45,38,0
"Newcastle United",2022,49,49,38,0
"Newcastle United",2023,71,71,38,0
"Newcastle United",2024,60,60,38,0
"Newcastle United",2025,66,66,38,0
"Newcastle United",2026,49,49,38,0
"Norwich City",2005,33,33,38,0
"Norwich City",2012,47,47,38,0
"Norwich City",2013,44,44,38,0
"Norwich City",2014,33,33,38,0
"Norwich City",2016,34,34,38,0
"Norwich City",2020,21,21,38,0
"Norwich City",2022,22,22,38,0
"Nottingham Forest",1996,58,58,38,0
"Nottingham Forest",1997,34,34,38,0
"Nottingham Forest",1999,30,30,38,0
"Nottingham Forest",2023,38,38,38,0
"Nottingham Forest",2024,32,36,38,-4
"Nottingham Forest",2025,65,65,38,0
"Nottingham Forest",2026,44,44,38,0
"Portsmouth",2004,45,45,38,0
"Portsmouth",2005,39,39,38,0
"Portsmouth",2006,38,38,38,0
"Portsmouth",2007,54,54,38,0
"Portsmouth",2008,57,57,38,0
"Portsmouth",2009,41,41,38,0
"Portsmouth",2010,19,28,38,-9
"Queens Park Rangers",1996,33,33,38,0
"Queens Park Rangers",2012,37,37,38,0
"Queens Park Rangers",2013,25,25,38,0
"Queens Park Rangers",2015,30,30,38,0
"Reading",2007,55,55,38,0
"Reading",2008,36,36,38,0
"Reading",2013,28,28,38,0
"Sheffield United",2007,38,38,38,0
"Sheffield United",2020,54,54,38,0
"Sheffield United",2021,23,23,38,0
"Sheffield United",2024,16,16,38,0
"Sheffield Wednesday",1996,40,40,38,0
"Sheffield Wednesday",1997,57,57,38,0
"Sheffield Wednesday",1998,44,44,38,0
"Sheffield Wednesday",1999,46,46,38,0
"Sheffield Wednesday",2000,31,31,38,0
"Southampton",1996,38,38,38,0
"Southampton",1997,41,41,38,0
"Southampton",1998,48,48,38,0
"Southampton",1999,41,41,38,0
"Southampton",2000,44,44,38,0
"Southampton",2001,52,52,38,0
"Southampton",2002,45,45,38,0
"Southampton",2003,52,52,38,0
"Southampton",2004,47,47,38,0
"Southampton",2005,32,32,38,0
"Southampton",2013,41,41,38,0
"Southampton",2014,56,56,38,0
"Southampton",2015,60,60,38,0
"Southampton",2016,63,63,38,0
"Southampton",2017,46,46,38,0
"Southampton",2018,36,36,38,0
"Southampton",2019,39,39,38,0
"Southampton",2020,52,52,38,0
"Southampton",2021,43,43,38,0
"Southampton",2022,40,40,38,0
"Southampton",2023,25,25,38,0
"Southampton",2025,12,12,38,0
"Stoke City",2009,45,45,38,0
"Stoke City",2010,47,47,38,0
"Stoke City",2011,46,46,38,0
"Stoke City",2012,45,45,38,0
"Stoke City",2013,42,42,38,0
"Stoke City",2014,50,50,38,0
"Stoke City",2015,54,54,38,0
"Stoke City",2016,51,51,38,0
"Stoke City",2017,44,44,38,0
"Stoke City",2018,33,33,38,0
"Sunderland",1997,40,40,38,0
"Sunderland",2000,58,58,38,0
"Sunderland",2001,57,57,38,0
"Sunderland",2002,40,40,38,0
"Sunderland",2003,19,19,38,0
"Sunderland",2006,15,15,38,0
"Sunderland",2008,39,39,38,0
"Sunderland",2009,36,36,38,0
"Sunderland",2010,44,44,38,0
"Sunderland",2011,47,47,38,0
"Sunderland",2012,45,45,38,0
"Sunderland",2013,39,39,38,0
"Sunderland",2014,38,38,38,0
"Sunderland",2015,38,38,38,0
"Sunderland",2016,39,39,38,0
"Sunderland",2017,24,24,38,0
"Sunderland",2026,54,54,38,0
"Swansea City",2012,47,47,38,0
"Swansea City",2013,46,46,38,0
"Swansea City",2014,42,42,38,0
"Swansea City",2015,56,56,38,0
"Swansea City",2016,47,47,38,0
"Swansea City",2017,41,41,38,0
"Swansea City",2018,33,33,38,0
"Tottenham Hotspur",1996,61,61,38,0
"Tottenham Hotspur",1997,46,46,38,0
"Tottenham Hotspur",1998,44,44,38,0
"Tottenham Hotspur",1999,47,47,38,0
"Tottenham Hotspur",2000,53,53,38,0
"Tottenham Hotspur",2001,49,49,38,0
"Tottenham Hotspur",2002,50,50,38,0
"Tottenham Hotspur",2003,50,50,38,0
"Tottenham Hotspur",2004,45,45,38,0
"Tottenham Hotspur",2005,52,52,38,0
"Tottenham Hotspur",2006,65,65,38,0
"Tottenham Hotspur",2007,60,60,38,0
"Tottenham Hotspur",2008,46,46,38,0
"Tottenham Hotspur",2009,51,51,38,0
"Tottenham Hotspur",2010,70,70,38,0
"Tottenham Hotspur",2011,62,62,38,0
"Tottenham Hotspur",2012,69,69,38,0
"Tottenham Hotspur",2013,72,72,38,0
"Tottenham Hotspur",2014,69,69,38,0
"Tottenham Hotspur",2015,64,64,38,0
"Tottenham Hotspur",2016,70,70,38,0
"Tottenham Hotspur",2017,86,86,38,0
"Tottenham Hotspur",2018,77,77,38,0
"Tottenham Hotspur",2019,71,71,38,0
"Tottenham Hotspur",2020,59,59,38,0
"Tottenham Hotspur",2021,62,62,38,0
"Tottenham Hotspur",2022,71,71,38,0
"Tottenham Hotspur",2023,60,60,38,0
"Tottenham Hotspur",2024,66,66,38,0
"Tottenham Hotspur",2025,38,38,38,0
"Tottenham Hotspur",2026,41,41,38,0
"Watford",2000,24,24,38,0
"Watford",2007,28,28,38,0
"Watford",2016,45,45,38,0
"Watford",2017,40,40,38,0
"Watford",2018,41,41,38,0
"Watford",2019,50,50,38,0
"Watford",2020,34,34,38,0
"Watford",2022,23,23,38,0
"West Bromwich Albion",2003,26,26,38,0
"West Bromwich Albion",2005,34,34,38,0
"West Bromwich Albion",2006,30,30,38,0
"West Bromwich Albion",2009,32,32,38,0
"West Bromwich Albion",2011,47,47,38,0
"West Bromwich Albion",2012,47,47,38,0
"West Bromwich Albion",2013,49,49,38,0
"West Bromwich Albion",2014,36,36,38,0
"West Bromwich Albion",2015,44,44,38,0
"West Bromwich Albion",2016,43,43,38,0
"West Bromwich Albion",2017,45,45,38,0
"West Bromwich Albion",2018,31,31,38,0
"West Bromwich Albion",2021,26,26,38,0
"West Ham United",1996,51,51,38,0
"West Ham United",1997,42,42,38,0
"West Ham United",1998,56,56,38,0
"West Ham United",1999,57,57,38,0
"West Ham United",2000,55,55,38,0
"West Ham United",2001,42,42,38,0
"West Ham United",2002,53,53,38,0
"West Ham United",2003,42,42,38,0
"West Ham United",2006,55,55,38,0
"West Ham United",2007,41,41,38,0
"West Ham United",2008,49,49,38,0
"West Ham United",2009,51,51,38,0
"West Ham United",2010,35,35,38,0
"West Ham United",2011,33,33,38,0
"West Ham United",2013,46,46,38,0
"West Ham United",2014,40,40,38,0
"West Ham United",2015,47,47,38,0
"West Ham United",2016,62,62,38,0
"West Ham United",2017,45,45,38,0
"West Ham United",2018,42,42,38,0
"West Ham United",2019,52,52,38,0
"West Ham United",2020,39,39,38,0
"West Ham United",2021,65,65,38,0
"West Ham United",2022,56,56,38,0
"West Ham United",2023,40,40,38,0
"West Ham United",2024,52,52,38,0
"West Ham United",2025,43,43,38,0
"West Ham United",2026,39,39,38,0
"Wigan Athletic",2006,51,51,38,0
"Wigan Athletic",2007,38,38,38,0
"Wigan Athletic",2008,40,40,38,0
"Wigan Athletic",2009,45,45,38,0
"Wigan Athletic",2010,36,36,38,0
"Wigan Athletic",2011,42,42,38,0
"Wigan Athletic",2012,43,43,38,0
"Wigan Athletic",2013,36,36,38,0
"Wimbledon",1996,41,41,38,0
"Wimbledon",1997,56,56,38,0
"Wimbledon",1998,44,44,38,0
"Wimbledon",1999,42,42,38,0
"Wimbledon",2000,33,33,38,0
"Wolverhampton Wanderers",2004,33,33,38,0
"Wolverhampton Wanderers",2010,38,38,38,0
"Wolverhampton Wanderers",2011,40,40,38,0
"Wolverhampton Wanderers",2012,25,25,38,0
"Wolverhampton Wanderers",2019,57,57,38,0
"Wolverhampton Wanderers",2020,59,59,38,0
"Wolverhampton Wanderers",2021,45,45,38,0
"Wolverhampton Wanderers",2022,51,51,38,0
"Wolverhampton Wanderers",2023,41,41,38,0
"Wolverhampton Wanderers",2024,46,46,38,0
"Wolverhampton Wanderers",2025,42,42,38,0
"Wolverhampton Wanderers",2026,20,20,38,0
