"club","season_end","median_tenure","n_regulars","results_points"
"Manchester United",1996,4,15,82
"Manchester United",1997,4,15,75
"Manchester United",1998,5,14,77
"Manchester United",1999,5.5,14,79
"Manchester United",2000,5.5,16,91
"Manchester United",2001,6.75,14,80
"Manchester United",2002,7.5,13,77
"Manchester United",2010,4.5,11,85
"Manchester United",2015,2.25,14,70
"Manchester United",2017,3,16,69
"Manchester United",2018,4,13,81
"Manchester United",2019,4.25,14,66
"Manchester United",2020,3,14,66
"Manchester United",2021,4,14,74
"Manchester United",2022,3.5,17,58
"Manchester United",2023,4,16,75
"Manchester United",2024,2,16,60
"Manchester United",2025,2.5,16,42
"Manchester United",2026,2,11,71
"Middlesbrough",1996,2.25,12,43
"Middlesbrough",1997,3.5,11,42
"Middlesbrough",1999,2,13,51
"Middlesbrough",2000,3,13,52
"Middlesbrough",2002,1.75,12,45
"Middlesbrough",2004,2,15,48
"Middlesbrough",2005,2.75,12,55
"Middlesbrough",2008,2.5,12,42
"Middlesbrough",2009,3,13,32
"Middlesbrough",2017,1.25,14,28
"Newcastle United",1996,2.5,13,78
"Newcastle United",1997,3.25,14,68
"Newcastle United",1998,2.5,13,44
"Newcastle United",2006,1.75,14,58
"Newcastle United",2007,2.5,14,43
"Newcastle United",2009,3,13,34
"Newcastle United",2018,2,16,44
"Newcastle United",2019,3,12,45
"Newcastle United",2020,2.25,12,44
"Newcastle United",2021,2.5,13,45
"Newcastle United",2022,3.25,12,49
"Newcastle United",2023,2.5,15,71
"Norwich City",2012,2,13,47
"Norwich City",2022,1.25,12,22
"Nottingham Forest",1996,4.75,12,58
"Nottingham Forest",1999,2,13,30
"Nottingham Forest",2023,1,13,38
"Nottingham Forest",2025,2,15,65
"Nottingham Forest",2026,2.75,14,44
"Portsmouth",2007,1.5,14,54
"Portsmouth",2008,1.75,12,57
"Portsmouth",2009,2.5,11,41
"Portsmouth",2010,1,10,28
"Queens Park Rangers",1996,5.5,13,33
"Queens Park Rangers",2012,1.25,12,37
"Reading",2008,4,13,36
"Reading",2013,2.25,12,28
"Sheffield Wednesday",1996,2.5,12,40
"Sheffield Wednesday",2000,2.25,14,31
"Southampton",1996,3.5,12,38
"Southampton",1997,1.5,12,41
"Southampton",1998,2,13,48
"Southampton",1999,2.25,14,41
"Southampton",2002,3.5,14,45
"Southampton",2003,2,13,52
"Southampton",2004,2.5,13,47
"Southampton",2005,2.5,11,32
"Southampton",2013,1.5,15,41
"Southampton",2014,2,14,56
"Southampton",2015,1.5,14,60
"Southampton",2016,2,14,63
"Southampton",2021,3,14,43
"Southampton",2022,2.25,14,40
"Southampton",2025,1.5,15,12
"Stoke City",2009,2,14,45
"Stoke City",2010,2,16,47
"Stoke City",2011,2,14,46
"Stoke City",2012,3,15,45
"Stoke City",2013,3.25,16,42
"Stoke City",2014,2.5,12,50
"Sunderland",1997,2,13,40
"Sunderland",2000,2.25,14,58
"Sunderland",2001,3,13,57
"Sunderland",2002,3.75,12,40
"Sunderland",2003,4.5,12,19
"Sunderland",2006,1.5,13,15
"Sunderland",2008,2,15,39
"Sunderland",2009,2,14,36
"Sunderland",2010,2,15,44
"Sunderland",2012,1.25,14,45
"Sunderland",2013,2,12,39
"Sunderland",2015,3,13,38
"Sunderland",2016,1.5,12,39
"Swansea City",2012,2,13,47
"Tottenham Hotspur",1996,4,13,61
"Tottenham Hotspur",1997,4,12,46
"Tottenham Hotspur",1998,3.75,10,44
"Tottenham Hotspur",1999,3.5,11,47
"Tottenham Hotspur",2000,3.25,14,53
"Tottenham Hotspur",2005,1,13,52
"Tottenham Hotspur",2008,2.25,12,46
"Tottenham Hotspur",2009,2,13,51
"Tottenham Hotspur",2010,2,15,70
"Tottenham Hotspur",2011,3,14,62
"Tottenham Hotspur",2012,2.25,14,69
"Tottenham Hotspur",2013,2.5,14,72
"Tottenham Hotspur",2014,2,15,69
"Tottenham Hotspur",2015,2,13,64
"Tottenham Hotspur",2026,3,17,41
"Watford",2016,1.25,14,45
"Watford",2020,3.5,16,34
"West Bromwich Albion",2005,1.25,14,34
"West Bromwich Albion",2006,1.75,14,30
"West Bromwich Albion",2009,2,11,32
"West Bromwich Albion",2011,2,15,47
"West Bromwich Albion",2012,2.5,13,47
"West Bromwich Albion",2013,2,15,49
"West Bromwich Albion",2014,2.5,14,36
"West Bromwich Albion",2015,2.5,14,44
"West Bromwich Albion",2016,3,13,43
"West Bromwich Albion",2017,2.25,14,45
"West Bromwich Albion",2021,2,12,26
"West Ham United",1996,2,13,51
"West Ham United",1998,2,10,56
"West Ham United",1999,1.5,10,57
"West Ham United",2000,2,12,55
"West Ham United",2001,2.5,9,42
"West Ham United",2002,2.25,12,53
"West Ham United",2003,4,10,42
"West Ham United",2006,2.5,12,55
"West Ham United",2017,2,13,45
"West Ham United",2020,2.5,14,39
"West Ham United",2021,2.5,12,65
"West Ham United",2022,2.5,13,56
"Wigan Athletic",2006,1.25,12,51
"Wigan Athletic",2007,1.25,14,38
"Wigan Athletic",2008,1.25,12,40
"Wigan Athletic",2009,2,12,45
"Wigan Athletic",2010,1.5,13,36
"Wigan Athletic",2011,1.75,16,42
"Wigan Athletic",2012,2.5,15,43
"Wigan Athletic",2013,3,12,36
"Wimbledon",1996,2.25,12,41
"Wimbledon",1997,5,13,56
"Wimbledon",1998,5,12,44
"Wimbledon",1999,5,14,42
"Wimbledon",2000,4.5,12,33
"Wolverhampton Wanderers",2004,3,12,33
"Wolverhampton Wanderers",2021,3,13,45
