"season_end","club","source_name","fbref_id","tm_id","auto_status"
2005,"Bolton Wanderers","El Hadji Diouf","1a4542c8",NA,"unmatched"
2005,"Crystal Palace","Andrew Johnson","facd1b3e",NA,"unmatched"
2005,"Portsmouth","Yakubu Aiyegbeni","a1fe3f62",NA,"unmatched"
2005,"Newcastle United","Andy O'Brien","1719f6b2",NA,"unmatched"
2005,"Birmingham City","Matt Upson","1a6e6d03",NA,"unmatched"
2006,"Manchester United","Park Ji-sung","3de4cb30",NA,"unmatched"
2006,"Tottenham Hotspur","Lee Young-pyo","df94ada2",NA,"unmatched"
2006,"Portsmouth","Andy O'Brien","1719f6b2",NA,"unmatched"
2006,"Middlesbrough","Yakubu Aiyegbeni","a1fe3f62",NA,"unmatched"
2006,"Birmingham City","Matt Upson","1a6e6d03",NA,"unmatched"
2007,"Arsenal","Alexander Hleb","35cf43aa",NA,"unmatched"
2007,"Sheffield United","Robert Hulse","edaf9ca0",NA,"unmatched"
2007,"Watford","Hameur Bouazza","baca4d08",NA,"unmatched"
2007,"Tottenham Hotspur","Lee Young-pyo","df94ada2",NA,"unmatched"
2007,"Bolton Wanderers","El Hadji Diouf","1a4542c8",NA,"unmatched"
2007,"West Ham United","Robert Green","a350680b",NA,"unmatched"
2007,"Middlesbrough","Yakubu Aiyegbeni","a1fe3f62",NA,"unmatched"
2007,"Reading","Seol Ki-hyeon","cd5cfcd5",NA,"unmatched"
2007,"Everton","Andrew Johnson","facd1b3e",NA,"unmatched"
2008,"Arsenal","Alexander Hleb","35cf43aa",NA,"unmatched"
2008,"Bolton Wanderers","Andy O'Brien","1719f6b2",NA,"unmatched"
2008,"Bolton Wanderers","El Hadji Diouf","1a4542c8",NA,"unmatched"
2008,"West Ham United","Robert Green","a350680b",NA,"unmatched"
2008,"West Ham United","Matt Upson","1a6e6d03",NA,"unmatched"
2008,"Newcastle United","Geremi","3571f3d1",NA,"unmatched"
2008,"Everton","Yakubu Aiyegbeni","a1fe3f62",NA,"unmatched"
2008,"Everton","Andrew Johnson","facd1b3e",NA,"unmatched"
2009,"Arsenal","Alexandre Song","1c32281d",NA,"unmatched"
2009,"Manchester United","Park Ji-sung","3de4cb30",NA,"unmatched"
2009,"Bolton Wanderers","Andy O'Brien","1719f6b2",NA,"unmatched"
2009,"West Ham United","Robert Green","a350680b",NA,"unmatched"
2009,"West Ham United","Matt Upson","1a6e6d03",NA,"unmatched"
2009,"Chelsea","José Bosingwa","13dd442f",NA,"unmatched"
2009,"Fulham","Andrew Johnson","facd1b3e",NA,"unmatched"
2010,"Arsenal","Alexandre Song","1c32281d",NA,"unmatched"
2010,"Bolton Wanderers","Lee Chung-yong","49b05a83",NA,"unmatched"
2010,"West Ham United","Robert Green","a350680b",NA,"unmatched"
2010,"West Ham United","Matt Upson","1a6e6d03",NA,"unmatched"
2010,"Wolverhampton Wanderers","Matthew Jarvis","02d6d2b4",NA,"unmatched"
2010,"Blackburn Rovers","El Hadji Diouf","1a4542c8",NA,"unmatched"
2011,"Arsenal","Alexandre Song","1c32281d",NA,"unmatched"
2011,"Bolton Wanderers","Lee Chung-yong","49b05a83",NA,"unmatched"
2011,"West Ham United","Robert Green","a350680b",NA,"unmatched"
2011,"West Ham United","Matt Upson","1a6e6d03",NA,"unmatched"
2011,"Wolverhampton Wanderers","Matthew Jarvis","02d6d2b4",NA,"unmatched"
2011,"Sunderland","Ahmed Elmohamady","615ef733",NA,"unmatched"
2011,"Newcastle United","Cheick Tioté","e1270968",NA,"unmatched"
2012,"Arsenal","Alexandre Song","1c32281d",NA,"unmatched"
2012,"Wolverhampton Wanderers","Matthew Jarvis","02d6d2b4",NA,"unmatched"
2012,"Newcastle United","Cheick Tioté","e1270968",NA,"unmatched"
2012,"Chelsea","José Bosingwa","13dd442f",NA,"unmatched"
2012,"Blackburn Rovers","Yakubu Aiyegbeni","a1fe3f62",NA,"unmatched"
2013,"Norwich City","Jonny Howson","08b10f50",NA,"unmatched"
2013,"West Ham United","Matthew Jarvis","02d6d2b4",NA,"unmatched"
2013,"Queens Park Rangers","José Bosingwa","13dd442f",NA,"unmatched"
2013,"Newcastle United","Papiss Cissé","40f3ff51",NA,"unmatched"
2013,"Newcastle United","Cheick Tioté","e1270968",NA,"unmatched"
2013,"Swansea City","Ki Sung-yueng","1d8c99b0",NA,"unmatched"
2013,"Fulham","Giorgos Karagounis","ed2192d0",NA,"unmatched"
2014,"Norwich City","Jonny Howson","08b10f50",NA,"unmatched"
2014,"Cardiff City","Kim Bo-kyung","587ddfd6",NA,"unmatched"
2014,"West Ham United","Matthew Jarvis","02d6d2b4",NA,"unmatched"
2014,"West Ham United","Adrián","f76e6b4e",NA,"unmatched"
2014,"Sunderland","Ki Sung-yueng","1d8c99b0",NA,"unmatched"
2014,"Newcastle United","Cheick Tioté","e1270968",NA,"unmatched"
2014,"Hull City","Ahmed Elmohamady","615ef733",NA,"unmatched"
2015,"Stoke City","Mame Biram Diouf","7f4f3e49",NA,"unmatched"
2015,"West Ham United","Adrián","f76e6b4e",NA,"unmatched"
2015,"West Ham United","Alexandre Song","1c32281d",NA,"unmatched"
2015,"Queens Park Rangers","Robert Green","a350680b",NA,"unmatched"
2015,"Hull City","Ahmed Elmohamady","615ef733",NA,"unmatched"
2015,"Swansea City","Ki Sung-yueng","1d8c99b0",NA,"unmatched"
2016,"Norwich City","Jonny Howson","08b10f50",NA,"unmatched"
2016,"West Ham United","Adrián","f76e6b4e",NA,"unmatched"
2016,"Aston Villa","Idrissa Gana Gueye","72c812f3",NA,"unmatched"
2016,"Swansea City","Ki Sung-yueng","1d8c99b0",NA,"unmatched"
2017,"Watford","José Holebas","12aa7661",NA,"unmatched"
2017,"Tottenham Hotspur","Son Heung-min","92e7e919",NA,"unmatched"
2017,"Sunderland","Didier Ibrahim Ndong","885b7aa7",NA,"unmatched"
2017,"Hull City","Ahmed Elmohamady","615ef733",NA,"unmatched"
2018,"Stoke City","Mame Biram Diouf","7f4f3e49",NA,"unmatched"
2018,"Stoke City","Eric Maxim Choupo-Moting","0e6bc38c",NA,"unmatched"
2018,"Watford","José Holebas","12aa7661",NA,"unmatched"
2018,"Tottenham Hotspur","Son Heung-min","92e7e919",NA,"unmatched"
2018,"West Bromwich Albion","Ahmed Hegazi","5540c9dc",NA,"unmatched"
2018,"Brighton and Hove Albion","Bruno","78803d03",NA,"unmatched"
2018,"Huddersfield Town","Mathias Jørgensen","0db5d2c8",NA,"unmatched"
2018,"Swansea City","Ki Sung-yueng","1d8c99b0",NA,"unmatched"
2019,"Watford","José Holebas","12aa7661",NA,"unmatched"
2019,"Southampton","Pierre Højbjerg","8b04d6c1",NA,"unmatched"
2019,"Tottenham Hotspur","Son Heung-min","92e7e919",NA,"unmatched"
2019,"Wolverhampton Wanderers","Jonny Castro","e28868f3",NA,"unmatched"
2019,"Manchester City","Ederson Moraes","3bb7b8b4",NA,"unmatched"
2019,"Everton","Idrissa Gana Gueye","72c812f3",NA,"unmatched"
2019,"Huddersfield Town","Mathias Jørgensen","0db5d2c8",NA,"unmatched"
2019,"Fulham","Jean Seri","10efd0e1",NA,"unmatched"
2020,"Norwich City","Emi Buendía","66b76d44",NA,"unmatched"
2020,"Sheffield United","Oliver McBurnie","78b8ac63",NA,"unmatched"
2020,"Southampton","Pierre Højbjerg","8b04d6c1",NA,"unmatched"
2020,"Tottenham Hotspur","Son Heung-min","92e7e919",NA,"unmatched"
2020,"Wolverhampton Wanderers","Jonny Castro","e28868f3",NA,"unmatched"
2021,"Arsenal","Gabriel Magalhães","67ac5bb8",NA,"unmatched"
2021,"Tottenham Hotspur","Pierre Højbjerg","8b04d6c1",NA,"unmatched"
2021,"Tottenham Hotspur","Son Heung-min","92e7e919",NA,"unmatched"
2021,"Liverpool","Andy Robertson","2e4f5f03",NA,"unmatched"
2022,"Arsenal","Gabriel Magalhães","67ac5bb8",NA,"unmatched"
2022,"Tottenham Hotspur","Pierre Højbjerg","8b04d6c1",NA,"unmatched"
2022,"Tottenham Hotspur","Son Heung-min","92e7e919",NA,"unmatched"
2022,"Tottenham Hotspur","Emerson","df8b52a5",NA,"unmatched"
2022,"Aston Villa","Emi Buendía","66b76d44",NA,"unmatched"
2022,"Wolverhampton Wanderers","Max Kilman","d0f72bf1",NA,"unmatched"
2022,"Wolverhampton Wanderers","Hwang Hee-chan","169fd162",NA,"unmatched"
2022,"Manchester City","Ederson Moraes","3bb7b8b4",NA,"unmatched"
2023,"Arsenal","Gabriel Magalhães","67ac5bb8",NA,"unmatched"
2023,"Southampton","Armel Bella Kotchap","a39d11bc",NA,"unmatched"
2023,"Tottenham Hotspur","Pierre Højbjerg","8b04d6c1",NA,"unmatched"
2023,"Tottenham Hotspur","Son Heung-min","92e7e919",NA,"unmatched"
2023,"Tottenham Hotspur","Emerson","df8b52a5",NA,"unmatched"
2023,"Leeds United","Rasmus Kristensen","39769cff",NA,"unmatched"
2023,"Aston Villa","Emi Buendía","66b76d44",NA,"unmatched"
2023,"Wolverhampton Wanderers","Max Kilman","d0f72bf1",NA,"unmatched"
2024,"Arsenal","Gabriel Magalhães","67ac5bb8",NA,"unmatched"
2024,"Sheffield United","Vinicius Souza","6a8a7af8",NA,"unmatched"
2024,"Tottenham Hotspur","Son Heung-min","92e7e919",NA,"unmatched"
2024,"Bournemouth","Illia Zabarnyi","88968486",NA,"unmatched"
2024,"West Ham United","Emerson Palmieri","e0bc6fdc",NA,"unmatched"
2024,"Wolverhampton Wanderers","Max Kilman","d0f72bf1",NA,"unmatched"
2024,"Wolverhampton Wanderers","Toti Gomes","f0caab96",NA,"unmatched"
2024,"Wolverhampton Wanderers","Hwang Hee-chan","169fd162",NA,"unmatched"
2024,"Chelsea","Đorđe Petrović","0cf321c8",NA,"unmatched"
2024,"Everton","Idrissa Gana Gueye","72c812f3",NA,"unmatched"
2024,"Nottingham Forest","Danilo Santos","a816dbfb",NA,"unmatched"
2025,"Arsenal","Gabriel Magalhães","67ac5bb8",NA,"unmatched"
2025,"Tottenham Hotspur","Son Heung-min","92e7e919",NA,"unmatched"
2025,"Bournemouth","Illia Zabarnyi","88968486",NA,"unmatched"
2025,"West Ham United","Max Kilman","d0f72bf1",NA,"unmatched"
2025,"West Ham United","Emerson Palmieri","e0bc6fdc",NA,"unmatched"
2025,"Liverpool","Andy Robertson","2e4f5f03",NA,"unmatched"
2025,"Wolverhampton Wanderers","Toti Gomes","f0caab96",NA,"unmatched"
2025,"Leicester City","Victor Bernth Kristiansen","505486d6",NA,"unmatched"
2025,"Newcastle United","Valentino Livramento","afed6722",NA,"unmatched"
2026,"Bournemouth","Đorđe Petrović","0cf321c8",NA,"unmatched"
2026,"Aston Villa","Emi Buendía","66b76d44",NA,"unmatched"
1997,"West Ham United","Hugo Porfírio","ca7b2c95",NA,"unmatched"
1997,"Blackburn Rovers","Giorgos Donis","3de9c272",NA,"unmatched"
2000,"Arsenal","Oleh Luzhny","d39e96f7",NA,"unmatched"
2000,"Watford","Michel Ngonge","c28d6eff",NA,"unmatched"
2000,"Southampton","Trond Egil Soltvedt","6b5cedc7",NA,"unmatched"
2001,"Derby County","Georgi Kinkladze","34d9f4f7",NA,"unmatched"
2001,"Newcastle United","Daniel Cordone","a3414fa6",NA,"unmatched"
2002,"Derby County","Georgi Kinkladze","34d9f4f7",NA,"unmatched"
2002,"Tottenham Hotspur","Serhiy Rebrov","493b0ae2",NA,"unmatched"
2003,"Chelsea","Enrique de Lucas","ae61cc61",NA,"unmatched"
2004,"Tottenham Hotspur","Gus Poyet","27cd364d",NA,"unmatched"
2004,"Chelsea","Geremi","3571f3d1",NA,"unmatched"
2006,"Arsenal","Alexander Hleb","35cf43aa",NA,"unmatched"
2006,"Manchester City","Sun Jihai","fd08c217",NA,"unmatched"
2008,"Fulham","Hameur Bouazza","baca4d08",NA,"unmatched"
2010,"Arsenal","Eduardo da Silva","10ba6807",NA,"unmatched"
2010,"Everton","Yakubu Aiyegbeni","a1fe3f62",NA,"unmatched"
2011,"Manchester United","Javier Hernández","189cee7b",NA,"unmatched"
2011,"Blackpool","Richard Kingson","05380aa0",NA,"unmatched"
2011,"Chelsea","José Bosingwa","13dd442f",NA,"unmatched"
2011,"Blackburn Rovers","El Hadji Diouf","1a4542c8",NA,"unmatched"
2011,"Blackburn Rovers","Mame Biram Diouf","7f4f3e49",NA,"unmatched"
2011,"Fulham","Andrew Johnson","facd1b3e",NA,"unmatched"
2012,"Manchester United","Javier Hernández","189cee7b",NA,"unmatched"
2012,"Fulham","Andrew Johnson","facd1b3e",NA,"unmatched"
2013,"Manchester United","Javier Hernández","189cee7b",NA,"unmatched"
2013,"Queens Park Rangers","Park Ji-sung","3de4cb30",NA,"unmatched"
2014,"Manchester United","Javier Hernández","189cee7b",NA,"unmatched"
2014,"Newcastle United","Papiss Cissé","40f3ff51",NA,"unmatched"
2014,"Swansea City","José Cañas","ab77f2d9",NA,"unmatched"
2015,"Queens Park Rangers","Yun Suk-young","121612e7",NA,"unmatched"
2015,"Newcastle United","Papiss Cissé","40f3ff51",NA,"unmatched"
2016,"Stoke City","Mame Biram Diouf","7f4f3e49",NA,"unmatched"
2016,"Manchester United","Memphis","8f696594",NA,"unmatched"
2016,"Tottenham Hotspur","Son Heung-min","92e7e919",NA,"unmatched"
2016,"Newcastle United","Cheick Tioté","e1270968",NA,"unmatched"
2016,"Newcastle United","Papiss Cissé","40f3ff51",NA,"unmatched"
2017,"Stoke City","Mame Biram Diouf","7f4f3e49",NA,"unmatched"
2017,"Watford","Juan Zúñiga","06b34f37",NA,"unmatched"
2017,"Southampton","Pierre Højbjerg","8b04d6c1",NA,"unmatched"
2017,"Swansea City","Ki Sung-yueng","1d8c99b0",NA,"unmatched"
2018,"Southampton","Pierre Højbjerg","8b04d6c1",NA,"unmatched"
2018,"West Ham United","Javier Hernández","189cee7b",NA,"unmatched"
2019,"West Ham United","Javier Hernández","189cee7b",NA,"unmatched"
2019,"Fulham","Andre-Frank Zambo Anguissa","6bb2c084",NA,"unmatched"
2021,"Sheffield United","Oliver McBurnie","78b8ac63",NA,"unmatched"
2022,"Watford","Cucho","71b47ab9",NA,"unmatched"
2023,"West Ham United","Emerson Palmieri","e0bc6fdc",NA,"unmatched"
2023,"Liverpool","Kostas Tsimikas","f315ca93",NA,"unmatched"
2023,"Wolverhampton Wanderers","Hwang Hee-chan","169fd162",NA,"unmatched"
2024,"Sheffield United","Oliver McBurnie","78b8ac63",NA,"unmatched"
2024,"Tottenham Hotspur","Emerson","df8b52a5",NA,"unmatched"
2024,"Tottenham Hotspur","Pierre Højbjerg","8b04d6c1",NA,"unmatched"
2024,"Aston Villa","Jáder Durán","414184f7",NA,"unmatched"
2024,"Newcastle United","Valentino Livramento","afed6722",NA,"unmatched"
2024,"Brentford","Yehor Yarmoliuk","907a5d7c",NA,"unmatched"
2024,"Chelsea","Mykhailo Mudryk","049a888d",NA,"unmatched"
2024,"Brighton and Hove Albion","Igor","a4e85758",NA,"unmatched"
2025,"Aston Villa","Jáder Durán","414184f7",NA,"unmatched"
2025,"Wolverhampton Wanderers","Hwang Hee-chan","169fd162",NA,"unmatched"
2025,"Brentford","Yehor Yarmoliuk","907a5d7c",NA,"unmatched"
2026,"Liverpool","Andy Robertson","2e4f5f03",NA,"unmatched"
2026,"Manchester City","Nicolás González","2c56a792",NA,"unmatched"
2026,"Chelsea","Estêvão Willian","2eda11b1",NA,"unmatched"
2026,"Fulham","Joshua King","86109b3b",NA,"unmatched"
